user_id,job_id,label,ts
2,27-1012.00,1,2025-11-05T02:18:39.113206+00:00
2,29-2035.00,1,2025-11-05T02:18:39.113206+00:00
2,29-2099.00,1,2025-11-05T02:18:39.113206+00:00
2,39-5092.00,1,2025-11-05T02:18:39.113206+00:00
2,49-2091.00,1,2025-11-05T02:18:39.113206+00:00
3,27-1012.00,1,2025-11-05T02:18:39.113206+00:00
3,29-2035.00,1,2025-11-05T02:18:39.113206+00:00
3,29-2099.00,1,2025-11-05T02:18:39.113206+00:00
3,39-5092.00,1,2025-11-05T02:18:39.113206+00:00
3,49-2091.00,1,2025-11-05T02:18:39.113206+00:00
2,13-2023.00,0,2025-11-05T02:18:39.113206+00:00
2,15-1243.00,0,2025-11-05T02:18:39.113206+00:00
2,15-2051.02,0,2025-11-05T02:18:39.113206+00:00
2,17-2072.00,0,2025-11-05T02:18:39.113206+00:00
2,19-3034.00,0,2025-11-05T02:18:39.113206+00:00
2,21-1093.00,0,2025-11-05T02:18:39.113206+00:00
2,25-1069.00,0,2025-11-05T02:18:39.113206+00:00
2,25-1112.00,0,2025-11-05T02:18:39.113206+00:00
2,27-3099.00,0,2025-11-05T02:18:39.113206+00:00
2,35-2011.00,0,2025-11-05T02:18:39.113206+00:00
2,43-9041.00,0,2025-11-05T02:18:39.113206+00:00
2,47-5081.00,0,2025-11-05T02:18:39.113206+00:00
2,51-4193.00,0,2025-11-05T02:18:39.113206+00:00
2,51-6011.00,0,2025-11-05T02:18:39.113206+00:00
2,51-9021.00,0,2025-11-05T02:18:39.113206+00:00
2,51-9071.06,0,2025-11-05T02:18:39.113206+00:00
2,53-2021.00,0,2025-11-05T02:18:39.113206+00:00
2,53-6051.00,0,2025-11-05T02:18:39.113206+00:00
2,53-7021.00,0,2025-11-05T02:18:39.113206+00:00
2,53-7065.00,0,2025-11-05T02:18:39.113206+00:00
3,13-1032.00,0,2025-11-05T02:18:39.113206+00:00
3,13-1161.01,0,2025-11-05T02:18:39.113206+00:00
3,13-2022.00,0,2025-11-05T02:18:39.113206+00:00
3,17-3026.01,0,2025-11-05T02:18:39.113206+00:00
3,21-1015.00,0,2025-11-05T02:18:39.113206+00:00
3,25-3041.00,0,2025-11-05T02:18:39.113206+00:00
3,27-4014.00,0,2025-11-05T02:18:39.113206+00:00
3,29-2056.00,0,2025-11-05T02:18:39.113206+00:00
3,33-9032.00,0,2025-11-05T02:18:39.113206+00:00
3,41-2011.00,0,2025-11-05T02:18:39.113206+00:00
3,43-3011.00,0,2025-11-05T02:18:39.113206+00:00
3,43-4121.00,0,2025-11-05T02:18:39.113206+00:00
3,47-2041.00,0,2025-11-05T02:18:39.113206+00:00
3,47-2171.00,0,2025-11-05T02:18:39.113206+00:00
3,49-3091.00,0,2025-11-05T02:18:39.113206+00:00
3,49-9092.00,0,2025-11-05T02:18:39.113206+00:00
3,51-3022.00,0,2025-11-05T02:18:39.113206+00:00
3,51-4071.00,0,2025-11-05T02:18:39.113206+00:00
3,51-9083.00,0,2025-11-05T02:18:39.113206+00:00
3,53-1041.00,0,2025-11-05T02:18:39.113206+00:00
